epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,215.332,0.31423,4.47662,0.77348,1,1,0.995,0.8955,0.51437,5.26434,0.63632,0.000104052,0.000104052,0.000104052
47,221.82,0.28893,2.14175,0.76941,1,1,0.995,0.8955,0.4941,5.11736,0.64462,0.000104465,0.000104465,0.000104465
48,226.673,0.51885,1.82711,0.75055,1,1,0.995,0.8955,0.4941,5.11736,0.64462,0.000104796,0.000104796,0.000104796
49,233.01,0.55197,2.08168,0.7575,1,1,0.995,0.8955,0.50348,4.8734,0.63965,0.000105044,0.000105044,0.000105044
50,238.216,0.52463,2.15092,0.73289,1,1,0.995,0.8955,0.50348,4.8734,0.63965,0.00010521,0.00010521,0.00010521
51,242.602,0.56347,8.13988,0.842,1,1,0.995,0.8955,0.50064,4.70693,0.63701,0.000105293,0.000105293,0.000105293
52,248.022,0.50278,2.92925,0.94811,1,1,0.995,0.8955,0.50064,4.70693,0.63701,0.000105293,0.000105293,0.000105293
53,253.32,0.59372,3.11574,0.76661,1,1,0.995,0.8955,0.50064,4.70693,0.63701,0.000105211,0.000105211,0.000105211
54,261.346,0.54686,2.89699,0.82445,1,1,0.995,0.8955,0.45959,4.61146,0.63016,0.000105046,0.000105046,0.000105046
55,266.192,0.46046,2.93251,0.76263,1,1,0.995,0.8955,0.45959,4.61146,0.63016,0.000104799,0.000104799,0.000104799
56,270.389,0.53481,1.93795,0.77222,1,1,0.995,0.8955,0.45959,4.61146,0.63016,0.000104469,0.000104469,0.000104469
57,274.94,0.51827,2.94093,0.98365,1,1,0.995,0.8955,0.42409,4.61677,0.62395,0.000104057,0.000104057,0.000104057
58,278.387,0.6522,2.99303,0.90109,1,1,0.995,0.8955,0.42409,4.61677,0.62395,0.000103562,0.000103562,0.000103562
59,282.513,0.32706,2.94994,0.81046,1,1,0.995,0.8955,0.42409,4.61677,0.62395,0.000102984,0.000102984,0.000102984
60,286.55,0.55099,2.67474,0.83336,1,1,0.995,0.8955,0.37354,4.75558,0.60751,0.000102324,0.000102324,0.000102324
61,290.3,0.35774,1.69506,0.80339,1,1,0.995,0.8955,0.37354,4.75558,0.60751,0.000101581,0.000101581,0.000101581
